İl,2017 Nüfusu,ÜLKER
İstanbul,15029231,11532
Ankara,5445026,4146
İzmir,4279677,3240
Bursa,2936803,2258
Antalya,2364396,1668
Konya,2180149,1654
Şanlıurfa,1985753,1556
Adana,2216475,1519
Zonguldak,596892,1466
Kocaeli,1883270,1447
Gaziantep,2005515,1416
Diyarbakır,1699901,1321
Mersin,1793931,1209
Hatay,1575226,1111
Manisa,1413041,1105
Samsun,1312990,1072
Kayseri,1376722,1066
Van,1106891,979
Balıkesir,1204824,966
Aydın,1080839,829
Denizli,1018735,799
Sakarya,990214,792
Tekirdağ,1005463,769
Kahramanmaraş,1127623,751
Eskişehir,860620,670
Muğla,938751,667
Malatya,786676,650
Trabzon,786326,596
Mardin,809719,593
Afyonkarahisar,715693,589
Tokat,602086,585
Erzurum,760476,512
Ordu,742341,507
Adıyaman,615076,461
Batman,585252,460
Osmaniye,527724,453
Çorum,528422,451
Sivas,621301,450
Kütahya,572256,408
Ağrı,536285,399
Çanakkale,530417,363
Isparta,433830,351
Elazığ,583671,342
Muş,404544,325
Uşak,364971,321
Şırnak,503236,321
Aksaray,402404,306
Kastamonu,372373,266
Rize,331041,264
Bitlis,341474,262
Giresun,437393,258
Amasya,329888,256
Yozgat,418650,253
Kırklareli,360860,249
Edirne,411528,248
Siirt,324394,245
Niğde,352727,233
Düzce,377610,229
Karaman,246672,226
Kırıkkale,278749,222
Nevşehir,292365,217
Bolu,311810,211
Karabük,248014,208
Kırşehir,241868,184
Yalova,262234,182
Hakkari,286470,181
Kars,288878,172
Erzincan,236034,172
Burdur,269926,168
Bingöl,281205,167
Iğdır,197456,141
Bilecik,223448,139
Çankırı,216362,139
Kilis,142541,137
Artvin,174010,135
Sinop,219733,129
Gümüşhane,162748,110
Bartın,198999,104
Ardahan,98907,66
Bayburt,82274,51
Tunceli,88198,49